Categorie,Francais,Image_a_chercher,Icone_openmoji,Hexcode,Emoji,Type_correspondance,Qualite
Les couleurs et les formes,le carré,square,stop button,23F9,⏹️,tag,bon
Les couleurs et les formes,le triangle,triangle,triangular ruler,1F4D0,📐,tag,bon
Les couleurs et les formes,le rectangle,rectangle,orange square,1F7E7,🟧,override,bon
Les couleurs et les formes,le losange,diamond shape,gem stone,1F48E,💎,override,bon
Les couleurs et les formes,l'étoile,star,star,2B50,⭐️,annotation,bon
Les couleurs et les formes,la ligne,line,dotted line face,1FAE5,🫥,tag,bon
Les couleurs et les formes,l'ovale,oval,orange circle,1F7E0,🟠,override,bon
La météo,le soleil,sun,sun,2600,☀️,annotation,bon
La météo,la pluie,rain,cloud,2601,☁️,tag,bon
La météo,le nuage,cloud,cloud,2601,☁️,annotation,bon
La météo,le vent,wind,leaf fluttering in wind,1F343,🍃,tag,bon
La météo,la neige,snow,skier,26F7,⛷️,tag,bon
La météo,l'orage,storm,cloud with lightning and rain,26C8,⛈️,override,bon
La météo,le brouillard,fog,fog,1F32B,🌫️,annotation,bon
La météo,l'arc-en-ciel,rainbow,rainbow,1F308,🌈,annotation,bon
La météo,chaud,hot,melting face,1FAE0,🫠,tag,bon
La météo,froid,cold,grinning face with sweat,1F605,😅,tag,bon
La météo,doux,mild,sun behind small cloud,1F324,🌤️,override,bon
La météo,humide,humid,droplet,1F4A7,💧,override,bon
La météo,sec,dry,desert,1F3DC,🏜️,tag,bon
La météo,la tempête,storm,cloud with lightning and rain,26C8,⛈️,override,bon
La météo,l'éclair,lightning,shooting star,1F320,🌠,tag,bon
La météo,le tonnerre,thunder,cloud with lightning and rain,26C8,⛈️,tag,bon
La météo,le ciel,sky,light blue heart,1FA75,🩵,tag,bon
La météo,la température,temperature,thermometer,1F321,🌡️,override,bon
La météo,le gel,frost,snowflake,2744,❄️,override,bon
Les animaux,le chien,dog,dog,1F415,🐕️,annotation,bon
Les animaux,le chat,cat,cat,1F408,🐈️,annotation,bon
Les animaux,le cheval,horse,horse,1F40E,🐎,annotation,bon
Les animaux,la vache,cow,cow,1F404,🐄,annotation,bon
Les animaux,le cochon,pig,pig,1F416,🐖,annotation,bon
Les animaux,le mouton,sheep,ram,1F40F,🐏,tag,bon
Les animaux,la chèvre,goat,goat,1F410,🐐,annotation,bon
Les animaux,la poule,hen,chicken,1F414,🐔,override,bon
Les animaux,le coq,rooster,rooster,1F413,🐓,annotation,bon
Les animaux,le canard,duck,duck,1F986,🦆,annotation,bon
Les animaux,le lapin,rabbit,rabbit,1F407,🐇,annotation,bon
Les animaux,la souris,mouse,mouse,1F401,🐁,annotation,bon
Les animaux,l'oiseau,bird,bird,1F426,🐦️,annotation,bon
Les animaux,la tortue,turtle,turtle,1F422,🐢,annotation,bon
Les animaux,le serpent,snake,snake,1F40D,🐍,annotation,bon
Les animaux,la grenouille,frog,frog,1F438,🐸,annotation,bon
Les animaux,l'araignée,spider,spider,1F577,🕷️,annotation,bon
Les animaux,l'abeille,bee,honeybee,1F41D,🐝,tag,bon
Les animaux,le papillon,butterfly,butterfly,1F98B,🦋,annotation,bon
Les animaux,la mouche,fly,fly,1FAB0,🪰,annotation,bon
Les animaux,la fourmi,ant,ant,1F41C,🐜,annotation,bon
Les animaux,le lion,lion,lion,1F981,🦁,annotation,bon
Les animaux,le tigre,tiger,tiger,1F405,🐅,annotation,bon
Les animaux,l'éléphant,elephant,elephant,1F418,🐘,annotation,bon
Les animaux,la girafe,giraffe,giraffe,1F992,🦒,annotation,bon
Les animaux,le singe,monkey,monkey,1F412,🐒,annotation,bon
Les animaux,l'ours,bear,bear,1F43B,🐻,annotation,bon
Les animaux,le loup,wolf,wolf,1F43A,🐺,annotation,bon
Les animaux,le renard,fox,fox,1F98A,🦊,annotation,bon
Les animaux,le cerf,deer,deer,1F98C,🦌,annotation,bon
Les animaux,l'écureuil,squirrel,chipmunk,1F43F,🐿️,tag,bon
Les animaux,le hérisson,hedgehog,hedgehog,1F994,🦔,annotation,bon
Les animaux,le dauphin,dolphin,dolphin,1F42C,🐬,annotation,bon
Les animaux,le requin,shark,shark,1F988,🦈,annotation,bon
Les animaux,la baleine,whale,whale,1F40B,🐋,annotation,bon
Les animaux,le crocodile,crocodile,crocodile,1F40A,🐊,annotation,bon
Les animaux,le kangourou,kangaroo,kangaroo,1F998,🦘,annotation,bon
Les animaux,le zèbre,zebra,zebra,1F993,🦓,annotation,bon
Les animaux,le chameau,camel,camel,1F42A,🐪,annotation,bon
Les animaux,le pingouin,penguin,penguin,1F427,🐧,annotation,bon
Les animaux,le hibou,owl,owl,1F989,🦉,annotation,bon
Les animaux,le perroquet,parrot,parrot,1F99C,🦜,annotation,bon
Les animaux,l'escargot,snail,snail,1F40C,🐌,annotation,bon
Les animaux,le crabe,crab,crab,1F980,🦀,annotation,bon
Les animaux,la panthère,panther,leopard,1F406,🐆,override,bon
Les animaux,le koala,koala,koala,1F428,🐨,annotation,bon
La nature,l'arbre,tree,evergreen tree,1F332,🌲,tag,bon
La nature,la fleur,flower,bouquet,1F490,💐,tag,bon
La nature,la feuille,leaf,seedling,1F331,🌱,tag,bon
La nature,l'herbe,grass,cow face,1F42E,🐮,tag,bon
La nature,la forêt,forest,hairy creature,1FAC8,🫈,tag,bon
La nature,la montagne,mountain,mountain,26F0,⛰️,annotation,bon
La nature,la rivière,river,person rowing boat,1F6A3,🚣,tag,bon
La nature,le lac,lake,person rowing boat,1F6A3,🚣,tag,bon
La nature,la mer,sea,merperson,1F9DC,🧜,tag,bon
La nature,l'océan,ocean,merperson,1F9DC,🧜,tag,bon
La nature,la plage,beach,smiling face with sunglasses,1F60E,😎,tag,bon
La nature,le sable,sand,turtle,1F422,🐢,tag,bon
La nature,l'île,island,desert island,1F3DD,🏝️,tag,bon
La nature,le désert,desert,desert,1F3DC,🏜️,annotation,bon
La nature,la lune,moon,moon cake,1F96E,🥮,tag,bon
La nature,la terre,earth / ground,globe showing Europe-Africa,1F30D,🌍️,tag,bon
La nature,la roche,rock,rock,1FAA8,🪨,annotation,bon
La nature,la vallée,valley,mountain,26F0,⛰️,override,bon
La nature,la colline,hill,national park,1F3DE,🏞️,override,bon
La nature,le volcan,volcano,volcano,1F30B,🌋,annotation,bon
La nature,la cascade,waterfall,water wave,1F30A,🌊,override,bon
La nature,la jungle,jungle,monkey face,1F435,🐵,tag,bon
La nature,la campagne,countryside,deciduous tree,1F333,🌳,override,bon
La nature,la ferme,farm,horse face,1F434,🐴,tag,bon
La nature,le champ,field,tractor,1F69C,🚜,tag,bon
La ville et les lieux,la ville,city / town,office building,1F3E2,🏢,tag,bon
La ville et les lieux,le village,village,town,E203,,tag,bon
La ville et les lieux,la rue,street,houses,1F3D8,🏘️,override,bon
La ville et les lieux,l'avenue,avenue,houses,1F3D8,🏘️,override,bon
La ville et les lieux,la place,square,stop button,23F9,⏹️,tag,bon
La ville et les lieux,le pont,bridge,bridge at night,1F309,🌉,tag,bon
La ville et les lieux,l'immeuble,building,stadium,1F3DF,🏟️,tag,bon
La ville et les lieux,le magasin,shop,convenience store,1F3EA,🏪,override,bon
La ville et les lieux,le marché,market,chart increasing with yen,1F4B9,💹,tag,bon
La ville et les lieux,la banque,bank,bank,1F3E6,🏦,annotation,bon
La ville et les lieux,la poste,post office,post office,1F3E4,🏤,annotation,bon
La ville et les lieux,l'hôpital,hospital,hospital,1F3E5,🏥,annotation,bon
La ville et les lieux,la pharmacie,pharmacy,pill,1F48A,💊,override,bon
La ville et les lieux,la mairie,town hall,schwäbisch gmünd ratshaus,E209,,tag,bon
La ville et les lieux,l'église,church,church,26EA,⛪️,annotation,bon
La ville et les lieux,le musée,museum,framed picture,1F5BC,🖼️,tag,bon
La ville et les lieux,le cinéma,cinema,cinema,1F3A6,🎦,annotation,bon
La ville et les lieux,le théâtre,theater,performing arts,1F3AD,🎭️,tag,bon
La ville et les lieux,le parc,park,national park,1F3DE,🏞️,tag,bon
La ville et les lieux,la piscine,swimming pool,person swimming,1F3CA,🏊️,override,bon
La ville et les lieux,le stade,stadium,stadium,1F3DF,🏟️,annotation,bon
La ville et les lieux,l'aéroport,airport,airplane departure,1F6EB,🛫,override,bon
La ville et les lieux,la gare,train station,station,1F689,🚉,tag,bon
La ville et les lieux,l'arrêt de bus,bus stop,bus stop,1F68F,🚏,annotation,bon
La ville et les lieux,la station de métro,metro station,metro,1F687,🚇️,override,bon
La ville et les lieux,l'hôtel,hotel,hotel,1F3E8,🏨,annotation,bon
La ville et les lieux,le centre commercial,shopping mall,department store,1F3EC,🏬,override,bon
La ville et les lieux,le zoo,zoo,tiger,1F405,🐅,tag,bon
La ville et les lieux,le quartier,neighborhood,houses,1F3D8,🏘️,override,bon
La ville et les lieux,le trottoir,sidewalk,houses,1F3D8,🏘️,override,bon
La ville et les lieux,le feu rouge,traffic light,horizontal traffic light,1F6A5,🚥,tag,bon
La ville et les lieux,le panneau,sign,sign of the horns,1F918,🤘,tag,bon
La ville et les lieux,le carrefour,intersection,horizontal traffic light,1F6A5,🚥,tag,bon
La ville et les lieux,le coin,corner,world map,1F5FA,🗺️,override,bon
La ville et les lieux,l'adresse,address,loudspeaker,1F4E2,📢,tag,bon
La ville et les lieux,le nord,north,north,E0A0,,annotation,bon
La ville et les lieux,le sud,south,down arrow,2B07,⬇️,tag,bon
La ville et les lieux,l'est,east,right arrow,27A1,➡️,tag,bon
La ville et les lieux,l'ouest,west,left arrow,2B05,⬅️,tag,bon
La ville et les lieux,à droite,right (direction),right arrow,27A1,➡️,override,bon
La ville et les lieux,à gauche,left (direction),left arrow,2B05,⬅️,override,bon
La ville et les lieux,tout droit,straight ahead,,,,abstrait,sans image
La ville et les lieux,loin,far,,,,abstrait,sans image
La ville et les lieux,près,near,,,,abstrait,sans image
Les transports,la voiture,car,railway car,1F683,🚃,tag,bon
Les transports,le bus,bus,bus,1F68C,🚌,annotation,bon
Les transports,le train,train,train,1F686,🚆,annotation,bon
Les transports,l'avion,airplane,airplane,2708,✈️,annotation,bon
Les transports,le bateau,boat,person rowing boat,1F6A3,🚣,tag,bon
Les transports,le vélo,bicycle,bicycle,1F6B2,🚲️,annotation,bon
Les transports,la moto,motorcycle,motorcycle,1F3CD,🏍️,annotation,bon
Les transports,le métro,subway,metro,1F687,🚇️,tag,bon
Les transports,le tramway,tram,tram,1F68A,🚊,annotation,bon
Les transports,le taxi,taxi,taxi,1F695,🚕,annotation,bon
Les transports,le camion,truck,fire engine,1F692,🚒,tag,bon
Les transports,le scooter,scooter,motor scooter,1F6F5,🛵,tag,bon
Les transports,la trottinette,kick scooter,kick scooter,1F6F4,🛴,annotation,bon
Les transports,la roue,wheel,wheel,1F6DE,🛞,annotation,bon
Les transports,le moteur,engine,locomotive,1F682,🚂,tag,bon
Les transports,l'essence,gasoline,fuel pump,26FD,⛽️,tag,bon
Les transports,le billet,ticket,ticket,1F3AB,🎫,annotation,bon
Les transports,le conducteur,driver,delivery truck,1F69A,🚚,tag,bon
Les transports,le passager,passenger,passenger ship,1F6F3,🛳️,tag,bon
Les transports,la ceinture de sécurité,seatbelt,seat,1F4BA,💺,override,bon
Les transports,le permis de conduire,driver's license,identification card,1FAAA,🪪,override,bon
Les transports,l'autoroute,highway,motorway,1F6E3,🛣️,override,bon
Les transports,la route,road,motorway,1F6E3,🛣️,tag,bon
Les transports,l'embouteillage,traffic jam,oncoming automobile,1F698,🚘️,override,bon
Les transports,le retard,delay,alarm clock,23F0,⏰️,override,bon
La technologie,le téléphone,phone,call me hand,1F919,🤙,tag,bon
La technologie,le portable,cellphone,mobile phone,1F4F1,📱,override,bon
La technologie,le smartphone,smartphone,mobile phone,1F4F1,📱,tag,bon
La technologie,l'ordinateur,computer,technologist,1F9D1-200D-1F4BB,🧑‍💻,tag,bon
La technologie,la tablette,tablet,tablet,E1CC,,annotation,bon
La technologie,l'écran,screen,desktop computer,1F5A5,🖥️,tag,bon
La technologie,le clavier,keyboard,keyboard,2328,⌨️,annotation,bon
La technologie,la souris,mouse (computer),mouse,1F401,🐁,annotation,bon
La technologie,internet,internet,globe with meridians,1F310,🌐,tag,bon
La technologie,le wifi,wifi,wifi,E254,,annotation,bon
La technologie,l'application,app,signal,E05D,,tag,bon
La technologie,le réseau social,social network,globe with meridians,1F310,🌐,override,bon
La technologie,le message,message,speech balloon,1F4AC,💬,tag,bon
La technologie,l'appel,phone call,telephone receiver,1F4DE,📞,override,bon
La technologie,la photo,photo,camera,1F4F7,📷️,tag,bon
La technologie,la vidéo,video,video game,1F3AE,🎮️,tag,bon
La technologie,le jeu vidéo,video game,video game,1F3AE,🎮️,annotation,bon
La technologie,le casque,headset,headphone,1F3A7,🎧️,override,bon
La technologie,les écouteurs,earphones,headphone,1F3A7,🎧️,override,bon
La technologie,la batterie,battery,battery,1F50B,🔋,annotation,bon
La technologie,le chargeur,charger,electric plug,1F50C,🔌,override,bon
La technologie,le mot de passe,password,key,1F511,🔑,tag,bon
La technologie,le compte,account,bust in silhouette,1F464,👤,override,bon
La technologie,l'e-mail,email,envelope,2709,✉️,tag,bon
La technologie,le réseau,network,wireless,1F6DC,🛜,tag,bon
La technologie,le site web,website,home button,E25E,,tag,bon
La technologie,télécharger,to download,inbox tray,1F4E5,📥️,override,bon
La technologie,envoyer,to send,outbox tray,1F4E4,📤️,override,bon
La technologie,recevoir,to receive,inbox tray,1F4E5,📥️,override,bon
La technologie,la caméra,camera,camera,1F4F7,📷️,annotation,bon
La technologie,le haut-parleur,speaker,muted speaker,1F507,🔇,tag,bon
La technologie,l'imprimante,printer,printer,1F5A8,🖨️,annotation,bon
La technologie,la clé USB,USB drive,floppy disk,1F4BE,💾,override,approximatif
La technologie,les données,data,bar chart,1F4CA,📊,override,bon
La technologie,la connexion,connection,electric plug,1F50C,🔌,override,bon
Les sports et loisirs,le football,soccer,soccer ball,26BD,⚽️,tag,bon
Les sports et loisirs,le basketball,basketball,basketball,1F3C0,🏀,annotation,bon
Les sports et loisirs,le tennis,tennis,tennis,1F3BE,🎾,annotation,bon
Les sports et loisirs,la natation,swimming,person swimming,1F3CA,🏊️,tag,bon
Les sports et loisirs,la course à pied,running,dashing away,1F4A8,💨,tag,bon
Les sports et loisirs,la danse,dance,woman dancing,1F483,💃,tag,bon
Les sports et loisirs,le dessin,drawing,man artist,1F468-200D-1F3A8,👨‍🎨,tag,bon
Les sports et loisirs,la peinture,painting,man artist,1F468-200D-1F3A8,👨‍🎨,tag,bon
Les sports et loisirs,la lecture,reading,open book,1F4D6,📖,tag,bon
Les sports et loisirs,l'équipe,team,collaboration,E249,,tag,bon
Les sports et loisirs,le match,match / game,soccer ball,26BD,⚽️,override,bon
Les sports et loisirs,l'entraînement,training,flexed biceps,1F4AA,💪,override,bon
Les sports et loisirs,le ballon,ball,person golfing,1F3CC,🏌️,tag,bon
Les sports et loisirs,le terrain,field / court,tractor,1F69C,🚜,tag,bon
Les sports et loisirs,le champion,champion,trophy,1F3C6,🏆️,tag,bon
Les sports et loisirs,la victoire,victory,victory hand,270C,✌️,tag,bon
Les sports et loisirs,la défaite,defeat,cross mark,274C,❌️,override,bon
Les sports et loisirs,le score,score,hundred points,1F4AF,💯,tag,bon
Les sports et loisirs,l'arbitre,referee,face exhaling,1F62E-200D-1F4A8,😮‍💨,override,bon
Les sports et loisirs,le joueur,player,person bouncing ball,26F9,⛹️,tag,bon
Les sports et loisirs,le spectateur,spectator,eyes,1F440,👀,override,bon
Les sports et loisirs,la randonnée,hiking,snow-capped mountain,1F3D4,🏔️,tag,bon
Les sports et loisirs,le camping,camping,camping,1F3D5,🏕️,annotation,bon
Les sports et loisirs,la pêche,fishing,person rowing boat,1F6A3,🚣,tag,bon
Les sports et loisirs,le ski,skiing,skis,1F3BF,🎿,tag,bon
Les sports et loisirs,le patinage,skating,ice skate,26F8,⛸️,tag,bon
Les sports et loisirs,l'escalade,climbing,person climbing,1F9D7,🧗,tag,bon
Les sports et loisirs,le yoga,yoga,person in lotus position,1F9D8,🧘,tag,bon
Les sports et loisirs,les arts martiaux,martial arts,martial arts uniform,1F94B,🥋,override,bon
Les sports et loisirs,le rugby,rugby,rugby football,1F3C9,🏉,tag,bon
Les sports et loisirs,le volleyball,volleyball,volleyball,1F3D0,🏐,annotation,bon
Les sports et loisirs,le handball,handball,person playing handball,1F93E,🤾,tag,bon
Les sports et loisirs,l'athlétisme,track and field,person running,1F3C3,🏃,override,approximatif
Les sports et loisirs,la gymnastique,gymnastics,person cartwheeling,1F938,🤸,tag,bon
Les sports et loisirs,les échecs,chess,chess pawn,265F,♟️,tag,bon
Les sports et loisirs,les cartes,cards (game),flower playing cards,1F3B4,🎴,tag,bon
Les sports et loisirs,l'instrument de musique,musical instrument,musical note,1F3B5,🎵,override,bon
Les sports et loisirs,la guitare,guitar,guitar,1F3B8,🎸,annotation,bon
Les sports et loisirs,le piano,piano,musical keyboard,1F3B9,🎹,tag,bon
Les sports et loisirs,la batterie (instrument),drums,drum,1F941,🥁,annotation-singular,bon
Les sports et loisirs,le chant,singing,microphone,1F3A4,🎤,tag,bon
Les sports et loisirs,le groupe,band,flute,1FA88,🪈,tag,bon
Les sports et loisirs,le concert,concert,microphone,1F3A4,🎤,override,bon
Les sports et loisirs,le festival,festival,moon cake,1F96E,🥮,tag,bon
Les émotions et la personnalité,heureux,happy,grinning face,1F600,😀,tag,bon
Les émotions et la personnalité,triste,sad,pensive face,1F614,😔,tag,bon
Les émotions et la personnalité,content,glad / pleased,smiling face with smiling eyes,1F60A,😊,tag,bon
Les émotions et la personnalité,fâché,angry,face with steam from nose,1F624,😤,tag,bon
Les émotions et la personnalité,énervé,annoyed,face with steam from nose,1F624,😤,override,bon
Les émotions et la personnalité,fatigué,tired,sleepy face,1F62A,😪,tag,bon
Les émotions et la personnalité,stressé,stressed,grinning face with sweat,1F605,😅,tag,bon
Les émotions et la personnalité,inquiet,worried,worried face,1F61F,😟,tag,bon
Les émotions et la personnalité,effrayé,scared,face with open eyes and hand over mouth,1FAE2,🫢,tag,bon
Les émotions et la personnalité,surpris,surprised,star-struck,1F929,🤩,tag,bon
Les émotions et la personnalité,amoureux,in love,smiling face with heart-eyes,1F60D,😍,override,bon
Les émotions et la personnalité,jaloux,jealous,neutral face,1F610,😐️,tag,bon
Les émotions et la personnalité,timide,shy,face with peeking eye,1FAE3,🫣,tag,bon
Les émotions et la personnalité,gêné,embarrassed,flushed face,1F633,😳,override,bon
Les émotions et la personnalité,fier,proud,smiling face with sunglasses,1F60E,😎,override,bon
Les émotions et la personnalité,déçu,disappointed,pensive face,1F614,😔,tag,bon
Les émotions et la personnalité,excité,excited,star-struck,1F929,🤩,override,bon
Les émotions et la personnalité,calme,calm,relieved face,1F60C,😌,tag,bon
Les émotions et la personnalité,nerveux,nervous,grinning face with sweat,1F605,😅,tag,bon
Les émotions et la personnalité,gentil,kind / nice,smiling face,263A,☺️,override,bon
Les émotions et la personnalité,méchant,mean,angry face with horns,1F47F,👿,tag,bon
Les émotions et la personnalité,drôle,funny,rolling on the floor laughing,1F923,🤣,tag,bon
Les émotions et la personnalité,sérieux,serious,necktie,1F454,👔,tag,bon
Les émotions et la personnalité,intelligent,smart,nerd face,1F913,🤓,tag,bon
Les émotions et la personnalité,curieux,curious,thinking face,1F914,🤔,tag,bon
Les émotions et la personnalité,patient,patient,stretcher,E328,,tag,bon
Les émotions et la personnalité,impatient,impatient,anxious face with sweat,1F630,😰,override,bon
Les émotions et la personnalité,généreux,generous,wrapped gift,1F381,🎁,override,bon
Les émotions et la personnalité,égoïste,selfish,no entry,26D4,⛔️,override,bon
Les émotions et la personnalité,honnête,honest,white heart,1F90D,🤍,override,bon
Les émotions et la personnalité,courageux,brave,flexed biceps,1F4AA,💪,override,bon
Les émotions et la personnalité,sociable,sociable,handshake,1F91D,🤝,override,bon
Les émotions et la personnalité,sympathique,nice / friendly,grinning face,1F600,😀,tag,bon
Les émotions et la personnalité,optimiste,optimistic,sun,2600,☀️,override,bon
Les émotions et la personnalité,pessimiste,pessimistic,cloud,2601,☁️,override,bon
Les émotions et la personnalité,sensible,sensitive,yellow heart,1F49B,💛,override,bon
Les émotions et la personnalité,têtu,stubborn,donkey,1FACF,🫏,tag,bon
Les émotions et la personnalité,poli,polite,folded hands,1F64F,🙏,override,bon
Les émotions et la personnalité,impoli,impolite,no entry,26D4,⛔️,override,bon
Les émotions et la personnalité,sage,well-behaved,smiling face with halo,1F607,😇,override,bon
Les émotions et la personnalité,confiant,confident,flexed biceps,1F4AA,💪,override,bon
Les émotions et la personnalité,le sourire,smile,grinning face,1F600,😀,tag,bon
Les émotions et la personnalité,le rire,laughter,face with tears of joy,1F602,😂,override,bon
Les émotions et la personnalité,pleurer,to cry,crying face,1F622,😢,override,bon
Les émotions et la personnalité,la peur,fear,fearful face,1F628,😨,tag,bon
Les émotions et la personnalité,la joie,joy,rolling on the floor laughing,1F923,🤣,tag,bon
Les émotions et la personnalité,la colère,anger,face with steam from nose,1F624,😤,tag,bon
Les émotions et la personnalité,la tristesse,sadness,crying face,1F622,😢,override,bon
Les émotions et la personnalité,l'amour,love,smiling face with hearts,1F970,🥰,tag,bon
Les émotions et la personnalité,l'amitié,friendship,people hugging,1FAC2,🫂,tag,bon
Les émotions et la personnalité,l'espoir,hope,crossed fingers,1F91E,🤞,override,bon
Les émotions et la personnalité,la confiance,confidence / trust,handshake,1F91D,🤝,override,bon
Les émotions et la personnalité,le stress,stress,grinning face with sweat,1F605,😅,tag,bon
Les métiers,le médecin,doctor,face with medical mask,1F637,😷,tag,bon
Les métiers,l'infirmier,nurse,health worker,1F9D1-200D-2695-FE0F,🧑‍⚕️,tag,bon
Les métiers,le dentiste,dentist,grimacing face,1F62C,😬,tag,bon
Les métiers,l'avocat,lawyer,man judge,1F468-200D-2696-FE0F,👨‍⚖️,override,bon
Les métiers,le policier,police officer,police officer,1F46E,👮,annotation,bon
Les métiers,le pompier,firefighter,firefighter,1F9D1-200D-1F692,🧑‍🚒,annotation,bon
Les métiers,l'ingénieur,engineer,scientist,1F9D1-200D-1F52C,🧑‍🔬,tag,bon
Les métiers,l'architecte,architect,office worker,1F9D1-200D-1F4BC,🧑‍💼,tag,bon
Les métiers,le cuisinier,cook,cook,1F9D1-200D-1F373,🧑‍🍳,annotation,bon
Les métiers,le boulanger,baker,man cook,1F468-200D-1F373,👨‍🍳,override,bon
Les métiers,le coiffeur,hairdresser,barber pole,1F488,💈,tag,bon
Les métiers,le vendeur,salesperson,man office worker,1F468-200D-1F4BC,👨‍💼,override,bon
Les métiers,le caissier,cashier,money bag,1F4B0,💰️,override,bon
Les métiers,le mécanicien,mechanic,mechanic,1F9D1-200D-1F527,🧑‍🔧,annotation,bon
Les métiers,l'agriculteur,farmer,farmer,1F9D1-200D-1F33E,🧑‍🌾,annotation,bon
Les métiers,le pilote,pilot,pilot,1F9D1-200D-2708-FE0F,🧑‍✈️,annotation,bon
Les métiers,le chauffeur,driver (job),delivery truck,1F69A,🚚,tag,bon
Les métiers,le facteur,mail carrier,envelope,2709,✉️,override,bon
Les métiers,le journaliste,journalist,newspaper,1F4F0,📰,override,bon
Les métiers,l'écrivain,writer,memo,1F4DD,📝,override,bon
Les métiers,l'artiste,artist,artist,1F9D1-200D-1F3A8,🧑‍🎨,annotation,bon
Les métiers,le musicien,musician,man singer,1F468-200D-1F3A4,👨‍🎤,tag,bon
Les métiers,le chanteur,singer,singer,1F9D1-200D-1F3A4,🧑‍🎤,annotation,bon
Les métiers,l'acteur,actor,singer,1F9D1-200D-1F3A4,🧑‍🎤,tag,bon
Les métiers,le réalisateur,film director,clapper board,1F3AC,🎬️,override,bon
Les métiers,le photographe,photographer,camera,1F4F7,📷️,override,bon
Les métiers,l'informaticien,IT specialist,laptop,1F4BB,💻️,override,bon
Les métiers,le scientifique,scientist,scientist,1F9D1-200D-1F52C,🧑‍🔬,annotation,bon
Les métiers,le comptable,accountant,abacus,1F9EE,🧮,override,bon
Les métiers,l'employé,employee,briefcase,1F4BC,💼,override,bon
Les métiers,le patron,boss,necktie,1F454,👔,override,bon
Les métiers,le secrétaire,secretary,memo,1F4DD,📝,override,bon
Les métiers,le vétérinaire,veterinarian,paw prints,1F43E,🐾,override,bon
Les métiers,le pharmacien,pharmacist,pill,1F48A,💊,override,bon
Les métiers,l'électricien,electrician,electric plug,1F50C,🔌,override,bon
Les métiers,le plombier,plumber,wrench,1F527,🔧,override,bon
Les achats et l'argent,l'argent,money,money-mouth face,1F911,🤑,tag,bon
Les achats et l'argent,l'euro,euro,coin,1FA99,🪙,tag,bon
Les achats et l'argent,le centime,cent,coin,1FA99,🪙,override,bon
Les achats et l'argent,le prix,price,money bag,1F4B0,💰️,override,bon
Les achats et l'argent,cher,expensive,hand with index finger and thumb crossed,1FAF0,🫰,tag,bon
Les achats et l'argent,bon marché,cheap,money bag,1F4B0,💰️,override,bon
Les achats et l'argent,gratuit,free (no cost),FREE button,1F193,🆓,override,bon
Les achats et l'argent,la monnaie,change / currency,coin,1FA99,🪙,override,bon
Les achats et l'argent,le portefeuille,wallet,purse,1F45B,👛,override,approximatif
Les achats et l'argent,la carte bancaire,bank card,credit card,1F4B3,💳️,override,bon
Les achats et l'argent,la caisse,checkout,money bag,1F4B0,💰️,override,bon
Les achats et l'argent,le reçu,receipt,receipt,1F9FE,🧾,annotation,bon
Les achats et l'argent,la réduction,discount,label,1F3F7,🏷️,override,bon
Les achats et l'argent,les soldes,sales,shopping bags,1F6CD,🛍️,override,bon
Les achats et l'argent,l'achat,purchase,shopping bags,1F6CD,🛍️,override,bon
Les achats et l'argent,le client,customer,bust in silhouette,1F464,👤,override,bon
Les achats et l'argent,la boutique,shop / boutique,convenience store,1F3EA,🏪,override,bon
Les achats et l'argent,la taille,size,straight ruler,1F4CF,📏,override,bon
Les achats et l'argent,essayer,to try on,t-shirt,1F455,👕,override,bon
Les achats et l'argent,payer,to pay,money bag,1F4B0,💰️,override,bon
Les achats et l'argent,coûter,to cost,money bag,1F4B0,💰️,override,bon
Les achats et l'argent,dépenser,to spend (money),money bag,1F4B0,💰️,override,bon
Les achats et l'argent,économiser,to save (money),bank,1F3E6,🏦,override,bon
Les achats et l'argent,le budget,budget,money bag,1F4B0,💰️,override,bon
Les achats et l'argent,le cadeau,gift,red envelope,1F9E7,🧧,tag,bon
Les achats et l'argent,le panier,basket,basket,1F9FA,🧺,annotation,bon
Les achats et l'argent,le chariot,shopping cart,shopping cart,1F6D2,🛒,annotation,bon
Les achats et l'argent,l'argent de poche,pocket money,coin,1FA99,🪙,override,bon
Adjectifs courants,grand,tall / big,up arrow,2B06,⬆️,override,bon
Adjectifs courants,petit,small,ant,1F41C,🐜,override,bon
Adjectifs courants,gros,big / fat,elephant,1F418,🐘,override,bon
Adjectifs courants,mince,thin / slim,thread,1F9F5,🧵,override,bon
Adjectifs courants,long,long,snake,1F40D,🐍,override,bon
Adjectifs courants,court,short,down arrow,2B07,⬇️,override,bon
Adjectifs courants,large,wide,left-right arrow,2194,↔️,override,bon
Adjectifs courants,étroit,narrow,up-down arrow,2195,↕️,override,bon
Adjectifs courants,haut,high,raised hand,270B,✋️,tag,bon
Adjectifs courants,bas,low,speaker low volume,1F508,🔈️,tag,bon
Adjectifs courants,nouveau,new,NEW button,1F195,🆕,override,bon
Adjectifs courants,vieux,old,older person,1F9D3,🧓,tag,bon
Adjectifs courants,jeune,young,baby,1F476,👶,tag,bon
Adjectifs courants,beau,beautiful,sparkles,2728,✨️,tag,bon
Adjectifs courants,laid,ugly,ogre,1F479,👹,override,bon
Adjectifs courants,joli,pretty,tulip,1F337,🌷,override,bon
Adjectifs courants,propre,clean,soap,1F9FC,🧼,tag,bon
Adjectifs courants,sale,dirty,soap,1F9FC,🧼,override,bon
